"REF_DATE","GEO","DGUID","Farm products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-01","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","179.35","","","","2"
"2002-02","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","182.24","","","","2"
"2002-03","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","182.15","","","","2"
"2002-04","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","176.17","","","","2"
"2002-05","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","186.00","","","","2"
"2002-06","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","186.00","","","","2"
"2002-07","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","184.00","","","","2"
"2002-08","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","159.00","","","","2"
"2002-09","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","158.00","","","","2"
"2002-10","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","173.00","","","","2"
"2002-11","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","175.00","","","","2"
"2002-12","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","175.00","","","","2"
"2003-01","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","179.00","","","","2"
"2003-02","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","188.00","","","","2"
"2003-03","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","185.00","","","","2"
"2003-04","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","181.00","","","","2"
"2003-05","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","181.00","","","","2"
"2003-06","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","183.00","","","","2"
"2003-07","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","167.00","","","","2"
"2003-08","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","149.00","","","","2"
"2003-09","Prince Edward Island","2016A000211","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212059","2.3","162.00","","","","2"
