"REF_DATE","GEO","DGUID","Type of grain","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-01","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1101486","","","","0"
"2002-02","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1273057","","","","0"
"2002-03","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1079688","","","","0"
"2002-04","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1022353","","","","0"
"2002-05","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","844496","","","","0"
"2002-06","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","906858","","","","0"
"2002-07","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1718886","","","","0"
"2002-08","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1037416","","","","0"
"2002-09","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1000075","","","","0"
"2002-10","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1156861","","","","0"
"2002-11","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1111739","","","","0"
"2002-12","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1178674","","","","0"
"2003-01","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","458175","","","","0"
"2003-02","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","587863","","","","0"
"2003-03","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","581190","","","","0"
"2003-04","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","810996","","","","0"
"2003-05","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","626637","","","","0"
"2003-06","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","739814","","","","0"
"2003-07","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1554694","","","","0"
"2003-08","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","2126973","","","","0"
"2003-09","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1394989","","","","0"
"2003-10","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1307172","","","","0"
"2003-11","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1113853","","","","0"
"2003-12","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","1694861","","","","0"
"2004-01","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","800345","","","","0"
"2004-02","Canada","2016A000011124","Wheat, excluding durum","Tonnes","288","units","0","v32861682","7.3","791847","","","","0"
